1000,45.1,14.63,1.6
1000,45.1,14.69,1.2
990,45.1,14.71,0.8
990,45.1,14.79,0.8
980,45.1,14.77,0.8
980,45.1,14.79,0.8
970,45.1,14.79,0.8
960,45.6,14.79,0.8
940,46.1,14.79,0.8
950,46.6,14.8,0.8
960,47.1,14.79,0.8
940,47.1,14.79,0.8
920,47.1,14.77,0.8
930,47.1,14.76,0.8
940,47.1,14.76,0.8
950,47.1,14.74,0.8
950,47.1,14.7,0.8
960,47.1,14.69,0.8
960,47.1,14.63,0.8
960,46.6,14.67,0.8
950,46.1,14.66,0.8
950,46.6,14.66,0.8
950,47.1,14.71,0.8
950,47.1,14.74,0.8
940,47.1,14.76,0.8
940,47.1,14.77,0.8
940,47.1,14.77,0.8
950,47.1,14.77,0.8
950,47.1,14.76,0.8
950,47.1,14.71,0.8
940,47.1,14.7,0.8
930,47.1,14.71,0.8
920,47.1,14.71,0.8
940,47.1,14.73,0.8
950,47.1,14.74,0.8
940,47.1,14.71,0.8
930,47.1,14.76,0.8
930,47.6,14.74,0.8
920,48.1,14.74,0.8
920,47.6,14.73,0.6
920,47.1,14.74,0.4
930,47.1,14.74,0.4
930,47.1,14.73,0.4
950,47.1,14.71,0.4
960,47.1,14.77,0.4
960,47.1,14.71,0.4
960,47.1,14.73,0.4
950,47.1,14.73,0.4
940,47.1,14.74,0.4
940,47.1,14.76,0.4
930,47.1,14.8,0.4
940,47.6,14.88,0.4
950,48.1,14.85,0.4
950,47.6,14.86,0.4
940,47.1,14.89,0.4
950,47.1,14.88,0.4
950,47.1,14.8,0.4
960,47.1,14.8,0.4
960,47.1,14.8,0.4
960,47.6,14.8,0.4
950,48.1,14.8,0.4
950,47.6,14.8,0.4
950,47.1,14.83,0.4
950,47.6,14.8,0.4
940,48.1,14.79,0.4
940,47.6,14.85,0.4
940,47.1,14.89,0.4
940,46.6,14.83,0.4
940,46.1,14.83,0.4
940,46.6,14.83,0.4
930,47.1,14.82,0.4
920,47.1,14.83,0.4
910,47.1,14.82,0.4
920,47.1,14.76,0.4
920,47.1,14.74,0.4
920,48.1,14.73,0.4
910,49.1,14.73,0.4
900,48.6,14.73,0.4
890,48.1,14.71,0.4
880,48.6,14.69,0.4
870,49.1,14.64,0.4
870,48.6,14.61,0.4
860,48.1,14.6,0.4
850,49.1,14.57,0.4
830,50.1,14.52,0.4
820,51.1,14.48,0.4
800,52.1,14.39,0.4
800,52.1,14.35,0.4
800,52.1,14.23,0.4
800,52.6,14.2,0.4
800,53.1,14.1,0.4
790,53.6,14.01,0.4
770,54.1,14.01,0.4
800,53.6,14.02,0.4
830,53.1,14.05,0.4
850,52.6,13.99,0.4
860,52.1,13.97,0.4
880,51.6,13.98,0.4
890,51.1,14.02,0.4
890,50.1,14.07,0.4
890,49.1,14.07,0.4
900,49.1,14.1,0.6
900,49.1,14.16,0.8
900,49.6,14.19,0.8
890,50.1,14.29,0.8
900,49.6,14.36,1.2
900,49.1,14.41,1.6
910,49.6,14.42,1.8
910,50.1,14.39,2
920,50.6,14.38,3.1
930,51.1,14.38,4.3
930,51.6,14.44,5.1
930,52.1,14.48,5.9
970,52.1,14.58,5.9
1010,52.1,14.7,5.9
1080,51.6,14.8,5.9
1150,51.1,14.95,5.9
1170,50.1,15.11,5.9
1190,49.1,15.2,5.9
1220,48.1,15.02,6.1
1250,47.1,14.94,6.3
1240,47.1,14.86,6.3
1230,47.1,14.82,6.3
1240,46.6,14.83,6.3
1240,46.1,14.91,6.3
1240,46.6,14.92,6.3
1230,47.1,14.94,6.3
1240,46.6,14.89,6.6
1250,46.1,14.88,7
1260,46.6,15.01,7.2
1260,47.1,14.94,7.4
1270,47.1,14.95,7.4
1270,47.1,14.94,7.4
1280,47.1,14.95,7.6
1290,47.1,14.94,7.8
1310,47.1,14.94,7.8
1330,47.1,14.85,7.8
1330,47.1,14.83,7.8
1330,47.1,14.83,7.8
1330,47.1,14.8,7.8
1330,47.1,14.77,7.8
1350,47.1,14.79,8.2
1360,47.1,14.82,8.6
1360,47.1,14.79,8.6
1350,47.1,14.82,8.6
1360,47.1,14.8,8.6
1360,47.1,14.79,8.6
1370,47.1,14.79,8.6
1380,47.1,14.82,8.6
1370,47.1,14.79,8.6
1360,47.1,14.71,8.6
1370,47.1,14.7,8.6
1370,47.1,14.63,8.6
1370,47.1,14.66,8.6
1370,47.1,14.7,8.6
1380,47.1,14.69,8.6
1390,47.1,14.7,8.6
1410,47.1,14.67,8.6
1420,47.1,14.67,8.6
1430,47.1,14.69,8.8
1430,47.1,14.69,9
1420,46.6,14.71,9
1410,46.1,14.77,9
1410,46.6,14.76,9
1410,47.1,14.7,9
1420,47.1,14.73,9
1430,47.1,14.79,9
1430,47.1,14.76,9
1430,47.1,14.76,9
1430,47.1,14.71,9
1430,47.1,14.73,9
1440,47.1,14.71,9
1440,47.1,14.69,9
1440,46.6,14.67,9
1440,46.1,14.7,9
1450,46.1,14.7,9
1450,46.1,14.73,9
1460,46.1,14.89,9
1460,46.1,14.73,9
1460,46.6,14.74,9
1450,47.1,14.73,9
1460,46.6,14.79,9.4
1470,46.1,14.82,9.8
